round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,layer4_units,losses,lr,optimizer,use_bias
105,0.3053463070988655,0.87546664,0.6274917,0.3747106531262398,0.8504,0.5421921,relu,sigmoid,45,0.0,105,normal,44,18,32,29,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.30171402156352994,0.87813336,0.645466,0.37802249133586885,0.8504,0.54966944,relu,sigmoid,50,0.175,100,normal,68,24,29,26,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.3001113166411718,0.8789333,0.62749374,0.3700041146278381,0.8536,0.5635308,relu,sigmoid,40,0.0,105,normal,48,18,32,26,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.24140972701708477,0.91013336,0.7385074,0.4522378191947937,0.836,0.5229192,relu,sigmoid,40,0.175,115,normal,48,15,29,20,binary_crossentropy,0.75,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.31867676208416623,0.8693333,0.61123466,0.36915880966186526,0.8496,0.5553371,relu,sigmoid,55,0.175,105,normal,72,18,20,23,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.2549552975098292,0.89706665,0.7010078,0.40335344433784487,0.8368,0.5605422,relu,sigmoid,50,0.0,100,normal,60,24,20,32,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.26188877002398175,0.8912,0.67142075,0.413164909183979,0.836,0.5173013,relu,sigmoid,40,0.0,100,normal,80,15,20,29,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.31266742692391075,0.8757333,0.6396546,0.37122226250171664,0.8512,0.5560916,relu,sigmoid,85,0.35,110,normal,76,18,26,29,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.30644512045383454,0.8808,0.64239293,0.37805484533309935,0.8512,0.5337713,relu,sigmoid,60,0.35,110,normal,68,24,29,26,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.32218128140767416,0.8664,0.6000702,0.36971897530555725,0.856,0.57459986,relu,sigmoid,80,0.0,100,normal,48,15,32,32,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.38000882178545,0.8477333,0.4996883,0.4147428053021431,0.8376,0.43555126,relu,sigmoid,45,0.0,110,normal,40,21,29,23,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.2950919324159622,0.88053334,0.6499748,0.3789162102341652,0.8472,0.55890775,relu,sigmoid,75,0.175,105,normal,68,24,32,20,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.29008342417081195,0.888,0.64559835,0.4177971738576889,0.8416,0.5265366,relu,sigmoid,40,0.35,100,normal,56,21,20,29,binary_crossentropy,0.75,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3399455052614212,0.868,0.59308904,0.38101342713832853,0.8528,0.5485195,relu,sigmoid,65,0.175,100,normal,72,18,29,23,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.26894100471337634,0.88986665,0.68683136,0.40266534745693205,0.8376,0.5597579,relu,sigmoid,40,0.0,100,normal,64,27,20,32,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.3964732869466146,0.83573335,0.45675015,0.42103546130657193,0.8336,0.41831934,relu,sigmoid,85,0.175,115,normal,56,18,20,29,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.2535019019842148,0.9026667,0.7143843,0.4125709512233734,0.8392,0.520891,relu,sigmoid,60,0.0,100,normal,64,15,20,23,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.3217318601608276,0.8746667,0.62384486,0.37720380508899687,0.852,0.54556113,relu,sigmoid,45,0.35,110,normal,44,21,20,29,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.2769786594708761,0.89253336,0.678369,0.3891408854722977,0.844,0.5368746,relu,sigmoid,40,0.175,105,normal,76,27,23,23,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.29359371139109136,0.88986665,0.6692391,0.3893403967022896,0.8432,0.53790104,relu,sigmoid,35,0.35,105,normal,68,15,32,26,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.3088298138976097,0.8706667,0.61759645,0.36910798072814943,0.8536,0.5836508,relu,sigmoid,75,0.175,110,normal,56,21,32,29,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.3975081556638082,0.8394667,0.47301847,0.41933151507377625,0.8376,0.43875423,relu,sigmoid,70,0.35,105,normal,80,15,26,32,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.2707166780034701,0.8936,0.68190193,0.4024162232875824,0.84,0.49778095,relu,sigmoid,50,0.0,105,normal,68,15,29,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.2901261935631434,0.88346666,0.6579788,0.3781559520959854,0.8416,0.5432674,relu,sigmoid,50,0.175,100,normal,68,18,23,32,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.24430582106113433,0.9098667,0.7432284,0.42928077846765517,0.8432,0.53574383,relu,sigmoid,75,0.0,115,normal,80,21,23,23,binary_crossentropy,0.75,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.2299321884314219,0.9224,0.7834838,0.5128644666671753,0.8304,0.5184996,relu,sigmoid,80,0.35,105,normal,64,24,23,32,binary_crossentropy,0.75,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.30127102355162305,0.8778667,0.6426733,0.3773754996061325,0.8432,0.53164595,relu,sigmoid,50,0.175,110,normal,56,24,23,32,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.3224509128332138,0.868,0.61245817,0.37190009307861327,0.8464,0.54351646,relu,sigmoid,70,0.0,110,normal,44,18,26,26,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.3207199965318044,0.86986667,0.6032932,0.3727274956703186,0.844,0.5509254,relu,sigmoid,40,0.0,100,normal,44,18,26,26,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.2594958945115407,0.8901333,0.7123884,0.4643492233753204,0.8472,0.5711029,relu,sigmoid,50,0.35,115,normal,76,18,23,26,binary_crossentropy,0.75,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.2868071366548538,0.88133335,0.65420395,0.38172508573532105,0.8464,0.5222123,relu,sigmoid,60,0.0,115,normal,76,24,32,20,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3112774501244227,0.87013334,0.6131012,0.37224539029598236,0.852,0.55993927,relu,sigmoid,85,0.175,100,normal,68,15,26,20,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.29712157837549846,0.87733334,0.6495992,0.3692034385204315,0.8544,0.5729697,relu,sigmoid,70,0.0,100,normal,60,15,23,32,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.34344137914975487,0.8592,0.5725971,0.3740873579978943,0.8488,0.5414375,relu,sigmoid,80,0.175,110,normal,44,27,20,20,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.2308351634144783,0.9098667,0.7406706,0.48570233762264253,0.832,0.52171886,relu,sigmoid,40,0.0,100,normal,76,15,20,29,binary_crossentropy,0.75,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3859404118855794,0.84426665,0.4829198,0.4176059293746948,0.8416,0.44787133,relu,sigmoid,80,0.175,100,normal,60,24,32,32,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
