round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
110,0.3133947035272916,0.87306666,0.61768717,0.35307923686504367,0.8432,0.5254398,relu,sigmoid,55,0.0,110,normal,40,21,29,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.2950898889203866,0.87946665,0.6533973,0.3602923247218132,0.8464,0.54073095,relu,sigmoid,55,0.0,110,normal,76,18,23,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.3567516934275627,0.86053336,0.5661597,0.3782450702190399,0.8472,0.48336703,relu,sigmoid,85,0.175,110,normal,48,21,23,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.2968237322171529,0.8789333,0.64155185,0.35803174090385437,0.8448,0.54934734,relu,sigmoid,40,0.0,115,normal,68,21,26,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.2944676515460014,0.87813336,0.6449724,0.35501942425966265,0.8488,0.5437666,relu,sigmoid,75,0.0,105,normal,52,24,26,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.2823145015239716,0.88533336,0.65701896,0.3610660759806633,0.8496,0.550244,relu,sigmoid,45,0.175,105,normal,76,24,29,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.38916193306446073,0.8424,0.48179153,0.4084829473495483,0.8336,0.43697444,relu,sigmoid,50,0.0,110,normal,56,24,32,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.2983327457308769,0.87733334,0.64533716,0.35307874596118927,0.852,0.55912966,relu,sigmoid,65,0.0,105,normal,40,21,29,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.31167126389344535,0.8712,0.61881953,0.351599515914917,0.8496,0.55144995,relu,sigmoid,70,0.0,105,normal,40,21,23,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.29419968676567076,0.8789333,0.6450154,0.3663383178114891,0.8464,0.5459286,relu,sigmoid,35,0.0,100,normal,56,24,29,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.2949907169739405,0.8789333,0.6469184,0.3613365542292595,0.8456,0.53814393,relu,sigmoid,55,0.0,115,normal,68,27,32,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.310120040555795,0.87306666,0.62899107,0.35719463890790937,0.8504,0.52766633,relu,sigmoid,35,0.0,115,normal,68,15,20,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.32131189600626625,0.8696,0.6108908,0.35609192663431166,0.8512,0.5472745,relu,sigmoid,85,0.175,115,normal,52,15,23,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.2843308669726054,0.8797333,0.6340909,0.3573012776374817,0.848,0.5483069,relu,sigmoid,40,0.0,105,normal,80,24,29,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
