round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,losses,lr,optimizer,use_bias
125,0.5398423693180084,0.8295999765396118,0.4738876223564148,0.1967652007738749,0.91066664,0.7328435,relu,sigmoid,40,0.35,125,normal,80,45,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
105,0.36850343918800355,0.853600025177002,0.540908932685852,0.2554815502166748,0.888,0.6541327,relu,sigmoid,60,0.275,105,normal,80,10,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
105,0.4417869462966919,0.8456000089645386,0.4985641539096832,0.20907715010643005,0.9162667,0.7605136,relu,sigmoid,40,0.275,105,normal,65,45,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
130,0.4182749892473221,0.8456000089645386,0.5211055278778076,0.2239008600115776,0.9109333,0.752066,relu,sigmoid,45,0.2375,130,normal,60,30,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
130,0.47286173713207247,0.8528000116348267,0.5096324682235718,0.20655536723136902,0.9162667,0.780325,relu,sigmoid,60,0.2375,130,normal,80,40,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
115,0.4083469387292862,0.843999981880188,0.5035766363143921,0.22962084841728211,0.90853333,0.73734206,relu,sigmoid,60,0.3125,115,normal,75,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
105,0.4018547809123993,0.848800003528595,0.5240476727485657,0.22044374962647756,0.9144,0.76571864,relu,sigmoid,40,0.35,105,normal,70,45,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
105,0.37146580386161804,0.8551999926567078,0.5232079029083252,0.26150163722038267,0.8936,0.69082433,relu,sigmoid,60,0.3125,105,normal,70,15,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
120,0.425583589553833,0.843999981880188,0.5491482615470886,0.22692114090919493,0.912,0.7639062,relu,sigmoid,60,0.2375,120,normal,60,35,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
125,0.4311773079633713,0.8392000198364258,0.4937435984611511,0.2512676231066386,0.8973333,0.6924315,relu,sigmoid,50,0.35,125,normal,70,15,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
115,0.3296140402853489,0.8623999953269958,0.5104866027832031,0.30032434563835464,0.86053336,0.561068,relu,sigmoid,55,0.2,115,normal,70,10,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
110,0.3528621914982796,0.853600025177002,0.4981229901313782,0.27917248886823653,0.88346666,0.6576682,relu,sigmoid,55,0.3125,110,normal,60,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.41640009546279905,0.8464000225067139,0.49913859367370605,0.25102207696437834,0.904,0.72521836,relu,sigmoid,60,0.35,110,normal,80,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
130,0.45428059935569765,0.8456000089645386,0.5217655897140503,0.2524964032570521,0.9008,0.7089325,relu,sigmoid,50,0.275,130,normal,70,15,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
110,0.38574701428413394,0.853600025177002,0.5101811289787292,0.27986598600943885,0.87306666,0.5998715,relu,sigmoid,50,0.35,110,normal,70,10,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
110,0.4228220601081848,0.8543999791145325,0.5626344084739685,0.2217375316619873,0.9096,0.7529618,relu,sigmoid,60,0.35,110,normal,70,35,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
